"Population 100,000~474^2",,"Population 100,000~474^2",,"Population 10,000~150^2",,"Population 10,000~150^2",
ticks,encounters,ticks,encounters,ticks,encounters,ticks,encounters
1000,377,500,191,10000,3602,5000,1782
1000,380,500,190,10000,3507,5000,1894
1000,369,500,185,10000,3541,5000,1778
1000,409,500,220,10000,3565,5000,1887
1000,372,500,179,10000,3659,5000,1751
1000,361,500,158,10000,3568,5000,1787
1000,337,500,178,10000,3553,5000,1772
1000,346,500,170,10000,3561,5000,1780
1000,320,500,176,10000,3573,5000,1803
1000,371,500,181,10000,3526,5000,1718
1000,337,500,152,10000,3535,5000,1818
1000,339,500,159,10000,3615,5000,1896
1000,377,500,174,10000,3628,5000,1797
1000,362,500,164,10000,3576,5000,1739
1000,357,500,179,10000,3542,5000,1863
1000,344,500,168,10000,3606,5000,1825
1000,381,500,213,10000,3572,5000,1775
1000,365,500,184,10000,3538,5000,1814
1000,352,500,168,10000,3527,5000,1794
1000,361,500,189,10000,3668,5000,1787
1000,334,500,168,10000,3662,5000,1821
1000,334,500,173,10000,3558,5000,1812
1000,361,500,172,10000,3506,5000,1779
1000,356,500,156,10000,3566,5000,1861
1000,386,500,190,10000,3529,5000,1823
1000,365,500,178,10000,3566,5000,1764
1000,353,500,177,10000,3587,5000,1837
1000,360,500,176,10000,3434,5000,1736
1000,357,500,182,10000,3515,5000,1828
1000,353,500,187,10000,3621,5000,1754
1000,331,500,173,10000,3512,5000,1798
1000,369,500,190,10000,3484,5000,1708
1000,365,500,179,10000,3521,5000,1860
1000,354,500,182,10000,3644,5000,1822
1000,352,500,169,10000,3572,5000,1814
1000,379,500,184,10000,3655,5000,1826
1000,317,500,155,10000,3425,5000,1795
1000,330,500,160,10000,3711,5000,1779
1000,328,500,159,10000,3540,5000,1743
1000,340,500,155,10000,3606,5000,1770
1000,347,500,178,10000,3594,5000,1832
1000,327,500,170,10000,3678,5000,1856
1000,356,500,192,10000,3668,5000,1710
1000,349,500,175,10000,3478,5000,1806
1000,326,500,155,10000,3524,5000,1710
1000,388,500,195,10000,3579,5000,1809
1000,336,500,164,10000,3646,5000,1838
1000,356,500,187,10000,3548,5000,1847
1000,335,500,158,10000,3662,5000,1828
1000,373,500,188,10000,3667,5000,1807
1000,372,500,175,10000,3610,5000,1767
1000,377,500,184,10000,3607,5000,1799
1000,345,500,174,10000,3555,5000,1799
1000,381,500,185,10000,3552,5000,1802
1000,356,500,193,10000,3600,5000,1745
1000,379,500,179,10000,3607,5000,1735
1000,356,500,167,10000,3459,5000,1788
1000,365,500,164,10000,3544,5000,1789
1000,353,500,175,10000,3633,5000,1762
1000,327,500,168,10000,3566,5000,1751
1000,367,500,175,10000,3558,5000,1774
1000,367,500,190,10000,3620,5000,1768
1000,400,500,193,10000,3580,5000,1804
1000,342,500,188,10000,3596,5000,1731
1000,327,500,160,10000,3606,5000,1767
1000,335,500,174,10000,3504,5000,1749
1000,348,500,163,10000,3588,5000,1853
1000,387,500,201,10000,3605,5000,1767
1000,374,500,199,10000,3478,5000,1751
1000,340,500,170,10000,3522,5000,1755
1000,405,500,195,10000,3622,5000,1816
1000,355,500,170,10000,3580,5000,1822
1000,369,500,198,10000,3726,5000,1759
1000,354,500,169,10000,3517,5000,1788
1000,358,500,187,10000,3603,5000,1765
1000,345,500,170,10000,3565,5000,1764
1000,343,500,163,10000,3666,5000,1829
1000,345,500,174,10000,3463,5000,1811
1000,343,500,171,10000,3639,5000,1850
1000,347,500,180,10000,3643,5000,1813
1000,364,500,185,10000,3730,5000,1809
1000,342,500,168,10000,3505,5000,1784
1000,362,500,173,10000,3510,5000,1785
1000,338,500,178,10000,3582,5000,1714
1000,360,500,178,10000,3634,5000,1846
1000,352,500,173,10000,3636,5000,1742
1000,331,500,182,10000,3562,5000,1782
1000,362,500,172,10000,3623,5000,1774
1000,362,500,183,10000,3642,5000,1769
1000,356,500,167,10000,3533,5000,1685
1000,336,500,166,10000,3563,5000,1805
1000,387,500,192,10000,3520,5000,1886
1000,352,500,184,10000,3545,5000,1789
1000,330,500,151,10000,3594,5000,1836
1000,354,500,177,10000,3630,5000,1789
1000,393,500,205,10000,3615,5000,1794
1000,338,500,167,10000,3519,5000,1798
1000,345,500,165,10000,3641,5000,1843
1000,385,500,194,10000,3674,5000,1859
1000,366,500,181,10000,3606,5000,1707
,,,,,,,
average,356.11,average,177,average,3579.98,average,1793.02
standard deviation,19.21063205,standard deviation,13.11795747,standard deviation,61.81889156,standard deviation,43.91474293
,,,,,,,
encounters/tick,0.35611,encounters/tick,0.354,encounters/tick,0.357998,encounters/tick,0.358604