trial,k,i,speed,M,μ (ticks),σ (ticks),μ (days),σ (days)
1,0.2400,0.0002,4,749.67,75.18,34.18,54.08633094,24.58992806
2,0.2400,0.0002,4,6.73,3.90,2.66,2.805755396,1.913669065
3,0.2400,0.0002,4,536.18,108.64,51.29,78.15827338,36.89928058
4,0.2400,0.0002,4,498.19,129.25,54.41,92.98561151,39.14388489
5,0.2400,0.0002,4,905.43,80.05,24.29,57.58992806,17.47482014
6,0.2400,0.0002,4,688.63,86.52,34.86,62.24460432,25.07913669
7,0.2400,0.0002,4,0.00363,75.00,11.00,53.95683453,7.913669065
8,0.2400,0.0002,4,501.63,115.4,55.08,83.03597122,39.62589928
9,0.2400,0.0002,4,481.93,112.63,57.67,81.02877698,41.48920863
10,0.2400,0.0002,4,445.89,131.79,58.21,94.81294964,41.87769784
,,,,481.428363,91.838,38.365,66.0705036,27.60071942