ticks,infected
0,100
1,123
2,155
3,187
4,234
5,285
6,322
7,359
8,395
9,431
10,471
11,500
12,515
13,556
14,582
15,620
16,646
17,700
18,745
19,792
20,817
21,846
22,863
23,884
24,897
25,920
26,936
27,964
28,1011
29,1048
30,1059
31,1102
32,1109
33,1098
34,1127
35,1138
36,1124
37,1084
38,1085
39,1076
40,1058
41,1059
42,1056
43,1052
44,1043
45,1039
46,1048
47,1049
48,1035
49,1024
50,1005
51,972
52,938
53,953
54,947
55,944
56,932
57,941
58,904
59,904
60,884
61,848
62,805
63,783
64,799
65,776
66,763
67,737
68,715
69,711
70,697
71,668
72,652
73,646
74,623
75,617
76,585
77,571
78,542
79,515
80,508
81,506
82,502
83,486
84,478
85,464
86,443
87,430
88,406
89,400
90,385
91,365
92,348
93,339
94,331
95,318
96,318
97,295
98,270
99,255
100,248
101,254
102,240
103,234
104,231
105,229
106,224
107,219
108,222
109,221
110,214
111,214
112,208
113,201
114,196
115,197
116,190
117,177
118,166
119,165
120,161
121,151
122,144
123,135
124,134
125,135
126,140
127,134
128,134
129,129
130,128
131,122
132,121
133,113
134,106
135,101
136,100
137,101
138,99
139,90
140,80
141,68
142,62
143,50
144,44
145,43
146,43
147,37
148,33
149,34
150,34
151,35
152,30
153,30
154,26
155,25
156,23
157,19
158,19
159,20
160,20
161,16
162,13
163,13
164,14
165,15
166,13
167,12
168,13
169,16
170,17
171,19
172,20
173,19
174,15
175,14
176,10
177,13
178,12
179,13
180,11
181,12
182,11
183,11
184,11
185,10
186,10
187,8
188,7
189,6
190,7
191,7
192,10
193,12
194,13
195,14
196,11
197,8
198,8
199,6
200,5
201,5
202,5
203,5
204,5
205,6
206,6
207,6
208,6
209,6
210,6
211,5
212,5
213,4
214,3
215,2
216,2
217,2
218,1
219,1